Pokemon,No.,Caught?,Ruby,Sapphire,Emerald,FireRed,LeafGreen,Colosseum,XD
Bulbasaur,#0001,False,"Trade, Event","Trade, Event","Trade, Event",First partner Pokémon from Professor Oak in Pallet Town,First partner Pokémon from Professor Oak in Pallet Town,Trade,Trade
Ivysaur,#0002,False,Trade,Trade,Trade,Evolve Bulbasaur,Evolve Bulbasaur,Trade,Trade
Venusaur,#0003,False,Trade,Trade,Trade,Evolve Ivysaur,Evolve Ivysaur,Trade,Trade
Charmander,#0004,False,"Trade, Event","Trade, Event","Trade, Event",First partner Pokémon from Professor Oak in Pallet Town,First partner Pokémon from Professor Oak in Pallet Town,Trade,Trade
Charmeleon,#0005,False,"Trade, Evolve Event Charmander","Trade, Evolve Event Charmander","Trade, Evolve Event Charmander",Evolve Charmander,Evolve Charmander,Trade,Trade
Charizard,#0006,False,"Trade, Event","Trade, Event","Trade, Event",Evolve Charmeleon,Evolve Charmeleon,Trade,Trade
Squirtle,#0007,False,"Trade, Event","Trade, Event","Trade, Event",First partner Pokémon from Professor Oak in Pallet Town,First partner Pokémon from Professor Oak in Pallet Town,Trade,Trade
Wartortle,#0008,False,"Trade, Evolve Event Squirtle","Trade, Evolve Event Squirtle","Trade, Evolve Event Squirtle",Evolve Squirtle,Evolve Squirtle,Trade,Trade
Blastoise,#0009,False,"Trade, Event","Trade, Event","Trade, Event",Evolve Wartortle,Evolve Wartortle,Trade,Trade
Caterpie,#0010,False,Trade,Trade,Trade,"Routes 2, 24, and 25, Viridian Forest, Pattern Bush","Routes 2, 24, and 25, Viridian Forest, Pattern Bush",Trade,Trade
Metapod,#0011,False,Trade,Trade,Trade,"Routes 24 and 25, Viridian Forest, Pattern Bush","Routes 24 and 25, Viridian Forest, Pattern Bush",Trade,Trade
Butterfree,#0012,False,Trade,Trade,Trade,Evolve Metapod,Evolve Metapod,Trade,Cipher Key Lair (Shadow)
Weedle,#0013,False,Trade,Trade,Trade,"Routes 2, 24, and 25, Viridian Forest, Pattern Bush","Routes 2, 24, and 25, Viridian Forest, Pattern Bush",Trade,Trade
