Pokemon,No.,Caught?,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Pal Park,Pokéwalker
Bulbasaur,#0001,False,Trade,Trade,Trade,Received from Professor Oak in Pallet Town after defeating Red,Received from Professor Oak in Pallet Town after defeating Red,Field,
Ivysaur,#0002,False,Trade,Trade,Trade,Evolve Bulbasaur,Evolve Bulbasaur,Field,
Venusaur,#0003,False,Trade,Trade,Trade,Evolve Ivysaur,Evolve Ivysaur,Field,
Charmander,#0004,False,"Trade, Event","Trade, Event","Trade, Event",Received from Professor Oak in Pallet Town after defeating Red,Received from Professor Oak in Pallet Town after defeating Red,Field,
Charmeleon,#0005,False,"Trade, Evolve Event Charmander","Trade, Evolve Event Charmander","Trade, Evolve Event Charmander",Evolve Charmander,Evolve Charmander,Field,
Charizard,#0006,False,Trade,Trade,Trade,Evolve Charmeleon,Evolve Charmeleon,Field,
Squirtle,#0007,False,Trade,Trade,Trade,Received from Professor Oak in Pallet Town after defeating Red,Received from Professor Oak in Pallet Town after defeating Red,Pond,
Wartortle,#0008,False,Trade,Trade,Trade,Evolve Squirtle,Evolve Squirtle,Pond,
Blastoise,#0009,False,Trade,Trade,Trade,Evolve Wartortle,Evolve Wartortle,Pond,
Caterpie,#0010,False,Route 204 (Fire Red),Route 204 (Fire Red),"Route 204, Eterna Forest (Fire Red)","Routes 2, 30, and 31, Ilex Forest, National Park, Viridian Forest Morning Day National Park (Bug- Catching Contest) Tu Th Sa Ilex Forest (Headbutt trees)",National Park (Bug- Catching Contest) Tu Th Sa,Forest,
Metapod,#0011,False,Eterna Forest (Fire Red),Eterna Forest (Fire Red),Eterna Forest (Fire Red),"Routes 2, 30, and 31, Ilex Forest, National Park, Viridian Forest Morning Day National Park (Bug- Catching Contest) Tu Th Sa Route 47, Ilex Forest (Headbutt trees)",National Park (Bug- Catching Contest) Tu Th Sa,Forest,
Butterfree,#0012,False,Evolve Metapod,Evolve Metapod,Evolve Metapod,"Route 2 Morning Day Viridian Forest Morning National Park (Bug- Catching Contest) Tu Th Sa Route 47, Ilex Forest (Headbutt trees)",National Park (Bug- Catching Contest) Tu Th Sa,Forest,
Weedle,#0013,False,Route 204 (Leaf Green),Route 204 (Leaf Green),"Route 204, Eterna Forest (Leaf Green)",National Park (Bug- Catching Contest) Tu Th Sa,"Routes 2, 30, and 31, Ilex Forest, National Park, Viridian Forest Morning Day National Park (Bug- Catching Contest) Tu Th Sa Ilex Forest (Headbutt trees)",Forest,
Kakuna,#0014,False,Eterna Forest (Leaf Green),Eterna Forest (Leaf Green),Eterna Forest (Leaf Green),National Park (Bug- Catching Contest) Tu Th Sa,"Routes 2, 30, and 31, Ilex Forest, National Park, Viridian Forest Morning Day National Park (Bug- Catching Contest) Tu Th Sa Route 47, Ilex Forest (Headbutt trees)",Forest,
Beedrill,#0015,False,Evolve Kakuna,Evolve Kakuna,Evolve Kakuna,National Park (Bug- Catching Contest) Tu Th Sa,"Route 2 Morning Night Viridian Forest Morning National Park (Bug- Catching Contest) Tu Th Sa Route 47, Ilex Forest (Headbutt trees)",Forest,
Pidgey,#0016,False,Route 229 (Swarm),Route 229 (Swarm),Route 229,"Routes 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, and 37, National Park, Viridian Forest Morning Day Safari Zone Morning Day (Forest, default)","Routes 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, and 37, National Park, Viridian Forest Morning Day Safari Zone Morning Day (Forest, default)",Field,Refreshing Field
Pidgeotto,#0017,False,Evolve Pidgey,Evolve Pidgey,Evolve Pidgey,"Routes 2, 8, 13, 14, 15, 25, 37, and 43, Viridian Forest","Routes 2, 8, 13, 14, 15, 25, 37, and 43, Viridian Forest",Field,
Pidgeot,#0018,False,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Evolve Pidgeotto,Field,
Rattata,#0019,False,Routes 225 and 226,Routes 225 and 226,Routes 225 and 226,"Routes 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, 38, 39, and 46, Sprout Tower, Union Cave, Burned Tower, Bell Tower, Mt. Mortar, Tohjo Falls Safari Zone (Plains, default Morning Day; Mountain, default)","Routes 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, and 46, Sprout Tower, Union Cave, Burned Tower, Bell Tower, Mt. Mortar, Tohjo Falls Safari Zone (Plains, default Morning Day; Mountain, default)",Field,"Suburban Area, Town Outskirts"
Raticate,#0020,False,Routes 225 and 226,Routes 225 and 226,Routes 225 and 226,"Routes 7, 9, 10, 26, 27, 38, 39, and 47, Mt. Mortar, Union Cave, Burned Tower, Tohjo Falls Safari Zone (Plains, default Night; tall grass in Meadow with 5 Plains points; Mountain, default Morning Day)","Routes 7, 9, 10, 26, 27, 38, 39, and 47, Mt. Mortar, Union Cave, Burned Tower, Tohjo Falls Safari Zone (Plains, default Night; tall grass in Meadow with 5 Plains points; Mountain, default Morning Day)",Field,
