Pokemon,No.,Caught?,Scarlet,Violet,The Hidden Treasure of Area Zero,The Hidden Treasure of Area Zero (Scarlet),The Hidden Treasure of Area Zero (Violet)
Bulbasaur,#0001,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth (after boosting biodiversity in the Coastal Biome)


",,
Ivysaur,#0002,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Bulbasaur


",,
Venusaur,#0003,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Ivysaur


",,
Charmander,#0004,False,Trade,Trade,"Savanna Biome (after boosting biodiversity in the Savanna Biome)


",,
Charmeleon,#0005,False,Trade,Trade,"Evolve Charmander


",,
Charizard,#0006,False,"Trade, Poké Portal News","Trade, Poké Portal News","Evolve Charmeleon


",,
Squirtle,#0007,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome (after boosting biodiversity in the Canyon Biome)


",,
Wartortle,#0008,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Squirtle


",,
Blastoise,#0009,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Wartortle


",,
Caterpie,#0010,False,"Unobtainable


","Unobtainable


",,,
Metapod,#0011,False,"Unobtainable


","Unobtainable


",,,
Butterfree,#0012,False,"Unobtainable


","Unobtainable


",,,
Weedle,#0013,False,"Unobtainable


","Unobtainable


",,,
Kakuna,#0014,False,"Unobtainable


","Unobtainable


",,,
Beedrill,#0015,False,"Unobtainable


","Unobtainable


",,,
Pidgey,#0016,False,"Unobtainable


","Unobtainable


",,,
Pidgeotto,#0017,False,"Unobtainable


","Unobtainable


",,,
Pidgeot,#0018,False,"Unobtainable


","Unobtainable


",,,
Rattata,#0019,False,"Unobtainable


","Unobtainable


",,,
Raticate,#0020,False,"Unobtainable


","Unobtainable


",,,
Spearow,#0021,False,"Unobtainable


","Unobtainable


",,,
Fearow,#0022,False,"Unobtainable


","Unobtainable


",,,
Ekans,#0023,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Reveler's Road, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Wistful Fields Tera Raid Battles (1★, 3★)


",,
Arbok,#0024,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence, Fellhorn Gorge, Oni's  Maw


",,
Pikachu,#0025,False,"South Province: Area Two, Area Four, Artazon East Province: Area One West Province: Area Three Tera Raid Battles (2★, 3★)","South Province: Area Two, Area Four, Artazon East Province: Area One West Province: Area Three Tera Raid Battles (2★, 3★)","Kitakami Road, Apple Hills, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Raichu,#0026,False,"West Province: Area Two (Kantonian Form) North Province: Socarrat Trail (Kantonian Form) Area Zero (Kantonian Form) Tera Raid Battles (4★, 5★) (Kantonian Form) Pokémon HOME (Alolan Form)","West Province: Area Two (Kantonian Form) North Province: Socarrat Trail (Kantonian Form) Area Zero (Kantonian Form) Tera Raid Battles (4★, 5★) (Kantonian Form) Pokémon HOME (Alolan Form)","Evolve Pikachu (Kantonian Form) Pokémon HOME, Poké Portal News (Alolan Form)


",,
