Pokemon,No.,Caught?,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee
Bulbasaur,#0001,False,Trade,Trade,Route 2 (Island Scan) Fr,Route 2 (Island Scan) Fr,Viridian Forest Cerulean City (Only one),Viridian Forest Cerulean City (Only one)
Ivysaur,#0002,False,Trade,Trade,Evolve Bulbasaur,Evolve Bulbasaur,Evolve Bulbasaur,Evolve Bulbasaur
Venusaur,#0003,False,Trade,Trade,Evolve Ivysaur,Evolve Ivysaur,Evolve Ivysaur,Evolve Ivysaur
Charmander,#0004,False,Trade,Trade,Route 3 (Island Scan) Su,Route 3 (Island Scan) Su,"Route 3, Route 4, Rock Tunnel Route 24 (Only one)","Route 3, Route 4, Rock Tunnel Route 24 (Only one)"
Charmeleon,#0005,False,Trade,Trade,Evolve Charmander,Evolve Charmander,Evolve Charmander,Evolve Charmander
Charizard,#0006,False,"Trade, Event","Trade, Event",Evolve Charmeleon,Evolve Charmeleon,"Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25","Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25"
Squirtle,#0007,False,Trade,Trade,Seaward Cave (Island Scan) Mo,Seaward Cave (Island Scan) Mo,"Route 24, Route 25, Seafoam Islands Vermilion City (Only one)","Route 24, Route 25, Seafoam Islands Vermilion City (Only one)"
Wartortle,#0008,False,Trade,Trade,Evolve Squirtle,Evolve Squirtle,Evolve Squirtle,Evolve Squirtle
Blastoise,#0009,False,Trade,Trade,Evolve Wartortle,Evolve Wartortle,Evolve Wartortle,Evolve Wartortle
Caterpie,#0010,False,"Routes 1 and 5, Lush Jungle, Melemele Meadow","Routes 1 and 5, Lush Jungle, Melemele Meadow","Routes 1 and 5, Melemele Meadow Lush Jungle (SOS Battle)","Routes 1 and 5, Melemele Meadow Lush Jungle (SOS Battle)","Route 2, Viridian Forest","Route 2, Viridian Forest"
