Pokemon,No.,Caught?,Sword,Shield,Expansion Pass,Brilliant Diamond,Shining Pearl,Legends: Arceus,Sword Expansion Pass,Shield Expansion Pass
Bulbasaur,#0001,False,"Wild Area News, Pokémon HOME Event Trade Version 1.2.0+","Wild Area News, Pokémon HOME Event Trade Version 1.2.0+",Master Dojo (Only one; Gigantamax Factor),"Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Riverbank Cave, Still- Water Cavern, Bogsunk Cavern (after obtaining the National Pokédex)","Grand Underground - Grassland Cave, Sunlit Cavern, Swampy Cave, Riverbank Cave, Still- Water Cavern, Bogsunk Cavern (after obtaining the National Pokédex)",Unobtainable,,
Ivysaur,#0002,False,"Wild Area News, Evolve Pokémon HOME event Bulbasaur Trade Version 1.2.0+","Wild Area News, Evolve Pokémon HOME event Bulbasaur Trade Version 1.2.0+",Max Lair (Dynamax Adventure),Evolve Bulbasaur,Evolve Bulbasaur,Unobtainable,,
Venusaur,#0003,False,Evolve Wild Area News Ivysaur Trade Version 1.2.0+,Evolve Wild Area News Ivysaur Trade Version 1.2.0+,"Evolve Ivysaur Forest of Focus, Training Lowlands (Max Raid Battle)",Evolve Ivysaur,Evolve Ivysaur,Unobtainable,,
Charmander,#0004,False,"Received from Leon at his house in Postwick after becoming Champion (Gigantamax Factor) Hammerlocke Hills, Lake of Outrage (Max Raid Battle)","Received from Leon at his house in Postwick after becoming Champion (Gigantamax Factor) Hammerlocke Hills, Lake of Outrage (Max Raid Battle)",,"Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (after obtaining the National Pokédex)","Grand Underground - Volcanic Cave, Sandsear Cave, Typhlo Cavern (after obtaining the National Pokédex)",Unobtainable,,
Charmeleon,#0005,False,"Hammerlocke Hills, Lake of Outrage (Max Raid Battle)","Hammerlocke Hills, Lake of Outrage (Max Raid Battle)",Max Lair (Dynamax Adventure),Evolve Charmander,Evolve Charmander,Unobtainable,,
Charizard,#0006,False,Hammerlocke Hills (Max Raid Battle) Lake of Outrage (Max Raid Battle) (Gigantamax Factor),Hammerlocke Hills (Max Raid Battle) Lake of Outrage (Max Raid Battle) (Gigantamax Factor),"Fields of Honor, Loop Lagoon (Max Raid Battle)",Evolve Charmeleon,Evolve Charmeleon,Unobtainable,,
Squirtle,#0007,False,"Wild Area News, Pokémon HOME Event Trade Version 1.2.0+","Wild Area News, Pokémon HOME Event Trade Version 1.2.0+",Master Dojo (Only one; Gigantamax Factor),"Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern (after obtaining the National Pokédex)","Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern (after obtaining the National Pokédex)",Unobtainable,,
Wartortle,#0008,False,Wild Area News Trade Version 1.2.0+,Wild Area News Trade Version 1.2.0+,Max Lair (Dynamax Adventure),Evolve Squirtle,Evolve Squirtle,Unobtainable,,
Blastoise,#0009,False,Evolve Wild Area News Wartortle Trade Version 1.2.0+,Evolve Wild Area News Wartortle Trade Version 1.2.0+,"Evolve Wartortle Workout Sea, Stepping- Stone Sea (Max Raid Battle)",Evolve Wartortle,Evolve Wartortle,Unobtainable,,
Caterpie,#0010,False,"Route 1 Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)","Route 1 Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)",,"Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Trade,Unobtainable,,
Metapod,#0011,False,"Rolling Fields Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)","Rolling Fields Bridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)",,Evolve Caterpie,Trade,Unobtainable,,
Butterfree,#0012,False,"Slumbering Weald, East Lake Axewell, Giant's Mirror, Rolling Fields Bridge Field, Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Rolling Fields, South Lake Miloch (Max Raid Battle) Rolling Fields (Max Raid Battle) (Gigantamax Factor)","Slumbering Weald, East Lake Axewell, Giant's Mirror, Rolling Fields Bridge Field, Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Rolling Fields, South Lake Miloch (Max Raid Battle) Rolling Fields (Max Raid Battle) (Gigantamax Factor)","Max Lair (Dynamax Adventure) (Gigantamax Factor) Slippery Slope, Crown Shrine, Giant's Foot, Ballimere Lake (Max Raid Battle) (Gigantamax Factor)",Evolve Metapod,Trade,Unobtainable,,
Weedle,#0013,False,Unobtainable,Unobtainable,,Trade,"Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Kakuna,#0014,False,Unobtainable,Unobtainable,,Trade,Evolve Weedle,Unobtainable,,
Beedrill,#0015,False,Unobtainable,Unobtainable,,Trade,Evolve Kakuna,Unobtainable,,
Pidgey,#0016,False,Unobtainable,Unobtainable,,Route 229 (Swarm),Route 229 (Swarm),Unobtainable,,
Pidgeotto,#0017,False,Unobtainable,Unobtainable,,Evolve Pidgey,Evolve Pidgey,Unobtainable,,
Pidgeot,#0018,False,Unobtainable,Unobtainable,,Evolve Pidgeotto,Evolve Pidgeotto,Unobtainable,,
Rattata,#0019,False,Unobtainable,Unobtainable,,"Routes 225 and 226 (Kantonian Form) Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining the National Pokédex) (Kantonian Form) Unobtainable (Alolan Form)","Routes 225 and 226 (Kantonian Form) Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining the National Pokédex) (Kantonian Form) Unobtainable (Alolan Form)",Unobtainable,,
Raticate,#0020,False,Unobtainable,Unobtainable,,"Routes 225 and 226 (Kantonian Form) Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining the National Pokédex) (Kantonian Form) Unobtainable (Alolan Form)","Routes 225 and 226 (Kantonian Form) Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining the National Pokédex) (Kantonian Form) Unobtainable (Alolan Form)",Unobtainable,,
Spearow,#0021,False,Unobtainable,Unobtainable,,Routes 225 and 226,Routes 225 and 226,Unobtainable,,
Fearow,#0022,False,Unobtainable,Unobtainable,,"Routes 225, 226, and 227, Stark Mountain","Routes 225, 226, and 227, Stark Mountain",Unobtainable,,
Ekans,#0023,False,Unobtainable,Unobtainable,,"Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Trade,Unobtainable,,
Arbok,#0024,False,Unobtainable,Unobtainable,,Evolve Ekans,Trade,Unobtainable,,
Pikachu,#0025,False,"Route 4, Stony Wilderness Rolling Fields (Wanderer) Giant's Cap, Giant's Mirror, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank (Max Raid Battle) Meetup Spot (Only one)* (Gigantamax Factor)","Route 4, Stony Wilderness Rolling Fields (Wanderer) Giant's Cap, Giant's Mirror, Hammerlocke Hills, Lake of Outrage, Motostoke Riverbank (Max Raid Battle) Meetup Spot (Only one)* (Gigantamax Factor)","Forest of Focus Fields of Honor, Soothing Wetlands (Wanderer) Challenge Beach, Fields of Honor, Forest of Focus (Max Raid Battle)",Trophy Garden,Trophy Garden,"Obsidian Fieldlands: Nature's Pantry, massive mass outbreaks Crimson Mirelands: near Golden Lowlands Cobalt Coastlands: Windbreak Stand Alabaster Icelands: Space-time distortions",,
Raichu,#0026,False,"Giant's Cap, Motostoke Riverbank (Max Raid Battle) (Kantonian Form) Trade (Alolan Form)","Giant's Cap, Motostoke Riverbank (Max Raid Battle) (Kantonian Form) Trade (Alolan Form)","Forest of Focus, Soothing Wetlands (Wanderer) (Kantonian Form) Challenge Beach, Fields of Honor, Forest of Focus (Max Raid Battle) (Kantonian Form) Reward for finding at least 40 Alolan Diglett (Alolan Form) Max Lair (Dynamax Adventure) (Kantonian/ Alolan Forms)",Evolve Pikachu (Kantonian Form) Unobtainable (Alolan Form),Evolve Pikachu (Kantonian Form) Unobtainable (Alolan Form),Obsidian Fieldlands: massive mass outbreaks (Kantonian Form) Crimson Mirelands: Golden Lowlands  (Kantonian Form) Alabaster Icelands: Space-time distortions (Kantonian Form) Unobtainable (Alolan Form),,
Sandshrew,#0027,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Warm- Up Tunnel (Kantonian Form) Challenge Beach, Courageous Cavern (Max Raid Battle) (Kantonian Form) Reward for finding at least 30 Alolan Diglett (Alolan Form)",Trade (Kantonian Form) Unobtainable (Alolan Form),"Grand Underground - Spacious Cave, Rocky Cave, Sandsear Cave, Big Bluff Cavern (After obtaining the National Pokédex) (Kantonian Form) Unobtainable (Alolan Form)",Unobtainable,,
Sandslash,#0028,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Forest of Focus, Potbottom Desert (Wanderer) (Kantonian Form) Challenge Beach, Courageous Cavern, Potbottom Desert (Max Raid Battle) (Kantonian Form) Max Lair (Dynamax Adventure) (Kantonian/ Alolan Forms)",Trade (Kantonian Form) Unobtainable (Alolan Form),"Grand Underground - Spacious Cave, Rocky Cave, Sandsear Cave, Big Bluff Cavern (After obtaining the National Pokédex) (Kantonian Form) Unobtainable (Alolan Form)",Unobtainable,,
Nidoran♀,#0029,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed, Old Cemetery Frostpoint Field (Wanderer) Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle)","Route 201 (Poké Radar) Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Dazzling Cave, Still- Water Cavern, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Route 201 (Poké Radar) Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Dazzling Cave, Still- Water Cavern, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Nidorina,#0030,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed (Wanderer) Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle)","Route 221, Valor Lakefront (Poké Radar) Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Dazzling Cave, Still- Water Cavern, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Route 221, Valor Lakefront (Poké Radar) Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Dazzling Cave, Still- Water Cavern, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Nidoqueen,#0031,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed (Wanderer) Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Nidorina,Evolve Nidorina,Unobtainable,,
Nidoran♂,#0032,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed, Old Cemetery Frostpoint Field (Wanderer) Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle)","Route 201 (Poké Radar) Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Dazzling Cave, Still- Water Cavern, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Route 201 (Poké Radar) Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Dazzling Cave, Still- Water Cavern, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Nidorino,#0033,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed (Wanderer) Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle)","Route 221, Valor Lakefront (Poké Radar) Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Dazzling Cave, Still- Water Cavern, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Route 221, Valor Lakefront (Poké Radar) Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Dazzling Cave, Still- Water Cavern, Sunlit Cavern, Stargleam Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
